District,Station_name,State,Agency_name,Year,level,lat,long,is_filled
Ujjain,Tajpur,Madhya Pradesh,Madhya Pradesh GW,2017,11.0,23.23023333,75.90971944,False
Ujjain,Tajpur,Madhya Pradesh,Madhya Pradesh GW,2018,14.7,23.23023333,75.90971944,False
Ujjain,Tajpur,Madhya Pradesh,Madhya Pradesh GW,2019,6.14,23.23023333,75.90971944,False
Ujjain,Tajpur,Madhya Pradesh,Madhya Pradesh GW,2020,14.8,23.23023333,75.90971944,False
Ujjain,Tajpur,Madhya Pradesh,Madhya Pradesh GW,2021,4.081122236666667,23.23023333,75.90971944,False
Ujjain,Tajpur,Madhya Pradesh,Madhya Pradesh GW,2022,8.673836364864867,23.23023333,75.90971944,False
Ujjain,Tajpur,Madhya Pradesh,Madhya Pradesh GW,2023,8.716197985321099,23.23023333,75.90971944,False
Ujjain,Tajpur,Madhya Pradesh,Madhya Pradesh GW,2024,11.985016675,23.23023333,75.90971944,False
Ujjain,Ujjainiya,Madhya Pradesh,Madhya Pradesh GW,2015,10.65,23.29362972,75.87055111,False
Ujjain,Ujjainiya,Madhya Pradesh,Madhya Pradesh GW,2016,10.149999999999999,23.29362972,75.87055111,False
Ujjain,Ujjainiya,Madhya Pradesh,Madhya Pradesh GW,2017,8.566666666666666,23.29362972,75.87055111,False
Ujjain,Ujjainiya,Madhya Pradesh,Madhya Pradesh GW,2018,12.85,23.29362972,75.87055111,False
Ujjain,Ujjainiya,Madhya Pradesh,Madhya Pradesh GW,2019,6.949999999999999,23.29362972,75.87055111,False
Ujjain,Ujjainiya,Madhya Pradesh,Madhya Pradesh GW,2020,5.2,23.29362972,75.87055111,False
Ujjain,Ujjainiya,Madhya Pradesh,Madhya Pradesh GW,2021,7.2,23.29362972,75.87055111,True
Ujjain,Ujjainiya,Madhya Pradesh,Madhya Pradesh GW,2022,8.2,23.29362972,75.87055111,True
Ujjain,Amla,Madhya Pradesh,Madhya Pradesh GW,2015,20.514285714285712,23.01311611,75.32588167,False
Ujjain,Amla,Madhya Pradesh,Madhya Pradesh GW,2016,11.5,23.01311611,75.32588167,False
Ujjain,Amla,Madhya Pradesh,Madhya Pradesh GW,2017,10.75,23.01311611,75.32588167,False
Ujjain,Amla,Madhya Pradesh,Madhya Pradesh GW,2018,13.1,23.01311611,75.32588167,False
Ujjain,Amla,Madhya Pradesh,Madhya Pradesh GW,2019,8.3,23.01311611,75.32588167,False
Ujjain,Badnagar kasba (part),Madhya Pradesh,Madhya Pradesh GW,2015,11.399999999999999,23.05167194,75.36471583,False
Ujjain,Badnagar kasba (part),Madhya Pradesh,Madhya Pradesh GW,2016,12.35,23.05167194,75.36471583,False
Ujjain,Badnagar kasba (part),Madhya Pradesh,Madhya Pradesh GW,2017,12.55,23.05167194,75.36471583,False
Ujjain,Badnagar kasba (part),Madhya Pradesh,Madhya Pradesh GW,2018,13.149999999999999,23.05167194,75.36471583,False
Ujjain,Badnagar kasba (part),Madhya Pradesh,Madhya Pradesh GW,2019,8.1,23.05167194,75.36471583,False
